service_id,date,exception_type
7902,20170220,1
6902,20170220,1
2,20170220,1
3,20170220,2
9503,20170221,1
9203,20170221,1
11803,20170221,1
9503,20170222,1
9203,20170222,1
11803,20170222,1
9503,20170223,1
9203,20170223,1
11803,20170223,1
9603,20170224,1
9403,20170224,1
11703,20170224,1
7802,20170226,1
6302,20170226,1
8902,20170226,1
9503,20170227,1
9203,20170227,1
11803,20170227,1
9503,20170228,1
9203,20170228,1
11803,20170228,1
9503,20170301,1
9203,20170301,1
11803,20170301,1
9503,20170302,1
9203,20170302,1
11803,20170302,1
9603,20170303,1
9403,20170303,1
11703,20170303,1
7802,20170305,1
6302,20170305,1
8902,20170305,1
9503,20170306,1
9203,20170306,1
11803,20170306,1
9503,20170307,1
9203,20170307,1
11803,20170307,1
9503,20170308,1
9203,20170308,1
11803,20170308,1
9503,20170309,1
9203,20170309,1
11803,20170309,1
9603,20170310,1
9403,20170310,1
11703,20170310,1
7802,20170312,1
6302,20170312,1
8902,20170312,1
9503,20170313,1
9103,20170313,1
11803,20170313,1
9503,20170314,1
9103,20170314,1
11803,20170314,1
9503,20170315,1
9103,20170315,1
11803,20170315,1
9503,20170316,1
9103,20170316,1
11803,20170316,1
9603,20170317,1
9303,20170317,1
11703,20170317,1
7802,20170319,1
6302,20170319,1
8902,20170319,1
9503,20170320,1
9203,20170320,1
11803,20170320,1
9503,20170321,1
9203,20170321,1
11803,20170321,1
9503,20170322,1
9203,20170322,1
11803,20170322,1
9503,20170323,1
9203,20170323,1
11803,20170323,1
9603,20170324,1
9403,20170324,1
11703,20170324,1
7802,20170326,1
6302,20170326,1
8902,20170326,1
9503,20170327,1
9203,20170327,1
11803,20170327,1
9503,20170328,1
9203,20170328,1
11803,20170328,1
9503,20170329,1
9203,20170329,1
11803,20170329,1
9503,20170330,1
9203,20170330,1
11803,20170330,1
9603,20170331,1
9403,20170331,1
11703,20170331,1
7802,20170402,1
6302,20170402,1
8902,20170402,1
9503,20170403,1
9203,20170403,1
11803,20170403,1
9503,20170404,1
9203,20170404,1
11803,20170404,1
9503,20170405,1
9203,20170405,1
11803,20170405,1
9503,20170406,1
9203,20170406,1
11803,20170406,1
9603,20170407,1
9403,20170407,1
11703,20170407,1
7802,20170409,1
6302,20170409,1
8902,20170409,1
9503,20170410,1
9203,20170410,1
11803,20170410,1
9503,20170411,1
9203,20170411,1
11803,20170411,1
9503,20170412,1
9203,20170412,1
11803,20170412,1
9503,20170413,1
9203,20170413,1
11803,20170413,1
7902,20170414,1
2,20170414,1
3,20170414,2
7802,20170416,1
9002,20170416,1
9503,20170417,1
9103,20170417,1
11803,20170417,1
9503,20170418,1
9203,20170418,1
11803,20170418,1
9503,20170419,1
9203,20170419,1
11803,20170419,1
9503,20170420,1
9203,20170420,1
11803,20170420,1
9603,20170421,1
9403,20170421,1
11703,20170421,1
7802,20170423,1
6302,20170423,1
8902,20170423,1
9503,20170424,1
9203,20170424,1
11803,20170424,1
9503,20170425,1
9203,20170425,1
11803,20170425,1
9503,20170426,1
9203,20170426,1
11803,20170426,1
9503,20170427,1
9203,20170427,1
11803,20170427,1
9603,20170428,1
9403,20170428,1
11703,20170428,1
7802,20170430,1
6302,20170430,1
8902,20170430,1
9503,20170501,1
9203,20170501,1
11803,20170501,1
9503,20170502,1
9203,20170502,1
11803,20170502,1
9503,20170503,1
9203,20170503,1
11803,20170503,1
9503,20170504,1
9203,20170504,1
11803,20170504,1
9603,20170505,1
9403,20170505,1
11703,20170505,1
7802,20170507,1
6302,20170507,1
8902,20170507,1
9503,20170508,1
9203,20170508,1
11803,20170508,1
9503,20170509,1
9203,20170509,1
11803,20170509,1
9503,20170510,1
9203,20170510,1
11803,20170510,1
9503,20170511,1
9203,20170511,1
11803,20170511,1
9603,20170512,1
9403,20170512,1
11703,20170512,1
7802,20170514,1
6302,20170514,1
8902,20170514,1
9503,20170515,1
9203,20170515,1
11803,20170515,1
9503,20170516,1
9203,20170516,1
11803,20170516,1
9503,20170517,1
9203,20170517,1
11803,20170517,1
9503,20170518,1
9203,20170518,1
11803,20170518,1
9603,20170519,1
9303,20170519,1
11703,20170519,1
7802,20170521,1
6302,20170521,1
8902,20170521,1
7902,20170522,1
6902,20170522,1
2,20170522,1
3,20170522,2
9503,20170523,1
9203,20170523,1
11803,20170523,1
9503,20170524,1
9203,20170524,1
11803,20170524,1
9503,20170525,1
9203,20170525,1
11803,20170525,1
9603,20170526,1
9403,20170526,1
11703,20170526,1
7802,20170528,1
6302,20170528,1
8902,20170528,1
